"season_id","player_id","position","season_coverage_grade","snap_count"
"2019","10694","CB","54.8",7
"2019","10695","S","58.5",175
"2019","10732","S","81.5",127
"2019","10711","CB","63.9",166
"2019","10718","CB","61.7",144
"2019","10696","CB","72.4",177
"2019","10698","S","63.4",183
"2019","10702","S","39.3",36
"2019","10705","S","60.7",50
"2019","10740","CB","55.1",90
"2019","10791","CB","60",1
"2019","10752","S","71",42
"2019","10758","S","70.2",18
"2019","10878","CB","78.3",75
"2019","10801","S","66.9",35
"2019","10823","CB","64.2",138
"2019","10838","S","82.4",4
"2019","10843","CB","75.6",50
"2019","10846","S","66.6",12
